head	relation	tail
mayor	CapableOf	overseeing city finances
homeowner	CapableOf	buy new carpet
carpenter	CapableOf	saw table
drunk people	CapableOf	fall of thier barstools
trucker	CapableOf	join union
new homeowner	CapableOf	plant tree
hunter	CapableOf	spot prey
drunk people	CapableOf	speak loudly
tennis player	CapableOf	service to opponent
lecher	CapableOf	eye pretty girl
butler	CapableOf	shine silverware
farmer	CapableOf	run tractor
novelist	CapableOf	write book
investigator	CapableOf	gathering facts
paino student	CapableOf	learn piece of music
lumberjack	CapableOf	saw log
loaf and fish	CapableOf	feed multitude
butcher	CapableOf	bone meat
senior citizen	CapableOf	plan for retirement
gym instructor	CapableOf	condition muscles with special exercises
chess player	CapableOf	plan gambit
protester	CapableOf	fast as demonstration
consumer	CapableOf	pay for purchase
maintenance man	CapableOf	clean gutters
builder	CapableOf	position frame
director	CapableOf	direct with such skill
french chef	CapableOf	roll crepe suzettes
rich person	CapableOf	dress expensively
football player	CapableOf	throw football
chess player	CapableOf	advance pawn
unwashed person	CapableOf	smell himself
hostage negotiator	CapableOf	deal with terrorists
magician	CapableOf	master new trick
impresario	CapableOf	cut event
black cat	CapableOf	cross path
basebaseball batter	CapableOf	strike baseball
manufacturer	CapableOf	supply it's product to stores
track star	CapableOf	run fast
royalty	CapableOf	wave politely
cyclist	CapableOf	ride bike
one twin	CapableOf	double for other twin
wrestler	CapableOf	enter ring
christian	CapableOf	commit sin
angry dog	CapableOf	kill person
horse trainer	CapableOf	train horses to do tricks
diplomat	CapableOf	prepare to discuss
architect	CapableOf	design house
rower	CapableOf	row canoe
hunter	CapableOf	hunt big game
pedestrian	CapableOf	call cab
godmother	CapableOf	gift fortune to godchild
hard worker	CapableOf	advance in career
soda company	CapableOf	bottle beverages
reluctant spouse	CapableOf	come around eventually
shoeshiner	CapableOf	shine shoes
user	CapableOf	mine database
executioner	CapableOf	kill convict
decorator	CapableOf	use paper punch
skinny person	CapableOf	wedge in between two fat people
tall person	CapableOf	reach higher than short person
baseball player	CapableOf	field baseball
rich man	CapableOf	lend money to to poor person
open mind	CapableOf	discover commonsense knowledge
jury	CapableOf	vote guilty or not guilty
metalworker	CapableOf	machine part
one place person	CapableOf	at dealer
investigator	CapableOf	notice physical evidence
investor	CapableOf	sell stock
football player	CapableOf	drop football
paddler	CapableOf	row boat
farmer	CapableOf	enter barn
skydiver	CapableOf	ready parachute
inventor	CapableOf	think of gadget
parrot fish	CapableOf	live on coral
grocer	CapableOf	bag cans of soup
decorator	CapableOf	position furniture
lecturer	CapableOf	present to class
cattle rancher	CapableOf	thin herd
archaeologist	CapableOf	date artifact
man or woman	CapableOf	please another man or woman
impersonator	CapableOf	perfect dialect
pompous person	CapableOf	drop names
referee	CapableOf	time race
astute person	CapableOf	spot fraud
jenny	CapableOf	dream about flying
drunk driver	CapableOf	hit pedestrian
hunter	CapableOf	tail fox
slacker	CapableOf	amount to nothing
childe	CapableOf	butter bread
spy	CapableOf	bug telephone
host	CapableOf	wedge doorstop under door
lecturer	CapableOf	give lecture about prism
usher	CapableOf	seat audience
heat and light	CapableOf	tools
appraiser	CapableOf	value property efficiently
researcher	CapableOf	study cancer
town crier	CapableOf	shout news
swimmer	CapableOf	wear suit
magician	CapableOf	fool with illusion
dieter	CapableOf	eat lightly
stockboys	CapableOf	box produce
sick person	CapableOf	need nursing
buddhist	CapableOf	live mindfully
government	CapableOf	get money
root	CapableOf	absorb mineral salts
adventurous person	CapableOf	scuba dive
princess	CapableOf	wave hand
magician	CapableOf	produce rabbit from hat
lunatic	CapableOf	lose marbles
high school student	CapableOf	letter in track
college student	CapableOf	require money from parents
ball receiver	CapableOf	carry football
spender	CapableOf	burn through lot of cash
idealist	CapableOf	believe in mankind
tenor	CapableOf	sing opera
caterpillar	CapableOf	turn into butterfly
electrostatic plotter	CapableOf	letter diagram
peopl	CapableOf	bank money
success	CapableOf	bring joy
party guest	CapableOf	bring bottle of liquor
kitty	CapableOf	run up fabric
architect	CapableOf	complete floor plan
sick person	CapableOf	get better
monk	CapableOf	fast often
skydiver	CapableOf	fall from plane
peson	CapableOf	learn facts about another person
fisherman	CapableOf	fish for bass
chairman	CapableOf	note absentees
poet	CapableOf	being romantic
casino worker	CapableOf	deal out blackjack cards
friendly person	CapableOf	wave hand
general	CapableOf	begin attack
good salesperson	CapableOf	sell iceboxes to eskimos
beaver	CapableOf	build dam
winner	CapableOf	succeed at
traveller	CapableOf	journey afar
camper	CapableOf	sleeps in tent
cautious person	CapableOf	stay away from trouble
native	CapableOf	guide foreigners
outfielder	CapableOf	catch fly ball
prospector	CapableOf	mine for silver
builder	CapableOf	wall room
farmer	CapableOf	produce produce
christian	CapableOf	believe in jesus christ
musician	CapableOf	play guitar
janitor	CapableOf	clean lots of rooms
stunt man	CapableOf	attempt stunt
one activity person	CapableOf	do catheterization
watchdog	CapableOf	guard against thieves
bus driver	CapableOf	talk to passenger
sailor	CapableOf	man life raft
talented marketer	CapableOf	market product
soprano	CapableOf	sing aria
visitor	CapableOf	come from far away land
drycleaner	CapableOf	separate whites from colors
revolutionary	CapableOf	storm bastille
collector	CapableOf	trade duplicates
jockey	CapableOf	play game
defendant	CapableOf	promise to reappear
lifeguard	CapableOf	save drowning person
estimaters	CapableOf	value property
businessman	CapableOf	shoulder strangers
pet dog	CapableOf	run away
sailor	CapableOf	board ship
homeowner	CapableOf	garden garden
rapper	CapableOf	drop science
general	CapableOf	control army
mother and child	CapableOf	go to park together
deep thinker	CapableOf	bridge two divergent ideas
gambler	CapableOf	place bet
archaeologist	CapableOf	dig old building
pregnant woman	CapableOf	labor for hours
owner	CapableOf	name pet
collector	CapableOf	trade cards
sailor	CapableOf	man submarine
toddler	CapableOf	keep dolls
carpenter	CapableOf	build roof
early riser	CapableOf	view sunrise
weaponsman	CapableOf	arm bomb
mayor	CapableOf	adjuticate disputes
arbitrator	CapableOf	bridge gap
appraiser	CapableOf	value diamond
homemaker	CapableOf	water indoor plants
national guard	CapableOf	control angry mob
male adolescent	CapableOf	spit on ground
tourist	CapableOf	view sights
old person	CapableOf	long for good old days
challenger	CapableOf	best champion
poker player	CapableOf	deal cards
investigator	CapableOf	gather evidence
hunter	CapableOf	kill animal
bloodhound	CapableOf	track down missing people
car thief	CapableOf	joy ride
bishop	CapableOf	kill king
tourist	CapableOf	ask directions
orchestra leader	CapableOf	lead orchestra
sailor	CapableOf	board submarine
government	CapableOf	devided into sectors
teller	CapableOf	sort bills
sailor	CapableOf	sail across sea
musician	CapableOf	play ocarina
young man	CapableOf	join marines
weatherman	CapableOf	talk up storm
sailer	CapableOf	sail ship
genius	CapableOf	understand quantum theory
mother cat	CapableOf	can wash kittens
persistent person	CapableOf	fight off discouragement
honest person	CapableOf	walk talk
hitter	CapableOf	miss ball
young child	CapableOf	wet bed
jockey	CapableOf	ride fast horse
pregnant lady	CapableOf	showing
defense attorney	CapableOf	object to judges ruleing
one rabbit	CapableOf	father hundreds of babies
wet person	CapableOf	become sick
collector	CapableOf	trade baseball cards
bicyclist	CapableOf	ride bicycle
computer user	CapableOf	understands technology
con artist	CapableOf	fool out of money
soprano	CapableOf	add high notes
linebacker	CapableOf	shoulder offense
moron	CapableOf	value money over education
sergeant	CapableOf	head charge into battle
negative person	CapableOf	fear worst
usher	CapableOf	seat moviegoer
jury	CapableOf	judge performance
camper	CapableOf	sleep in open air
prospector	CapableOf	mine gold
government	CapableOf	let people get government jobs
scholar	CapableOf	study
foreman	CapableOf	busy crew
neat person	CapableOf	notice small changes
quitter	CapableOf	throw in towel
stargazer	CapableOf	lie on back
birdwatcher	CapableOf	watch bluejay
modest person	CapableOf	realise mistake
poet	CapableOf	write poem
comedian	CapableOf	needle audience
aware person	CapableOf	spot trouble before begins
executioner	CapableOf	hang condemmed prisioner
young person	CapableOf	join army
sad woman	CapableOf	rain tears
governor	CapableOf	limt engines speed
gambler	CapableOf	pick winner
crook	CapableOf	ducking police
tall person	CapableOf	put groceries on high shelf
negotiator	CapableOf	bridge gap between combatants
astronomer	CapableOf	look to to stars
magician	CapableOf	scape from box
blacksmith	CapableOf	fix horseshoe
governor	CapableOf	free criminals
mayor	CapableOf	leadership
governmental leader	CapableOf	sign agreement
chimpanzee	CapableOf	hold baby
francophile	CapableOf	dream of going to france
corporation	CapableOf	hold bank account
open mind	CapableOf	list many facts
senator	CapableOf	chair commitee
hungry person	CapableOf	eye sizzling steak
beautician	CapableOf	save face
democrat	CapableOf	fear republicans
celebrity	CapableOf	star in movie
lender	CapableOf	demand payment
bycyclist	CapableOf	bicycle for long distances
researcher	CapableOf	fight cancer
columnist	CapableOf	write screed
prince	CapableOf	govern country
mathematician	CapableOf	add nu bers
guru	CapableOf	explain paradox
magician	CapableOf	show magic trick
kind man	CapableOf	please wife
ecologically sensitive person	CapableOf	hang laundry on clothesline
workaholic child	CapableOf	turn play into paying work
sharp cookie	CapableOf	notice little things
conquistador	CapableOf	trade gold and silver
mason	CapableOf	wall off yard
maestro	CapableOf	direct orchestra
drug dealer	CapableOf	offer drugs
honeybee	CapableOf	make honey
chariman	CapableOf	man or woman
drag queen	CapableOf	wave in parade
ill person	CapableOf	drink through straw
biker	CapableOf	ride bike
miner	CapableOf	dig for gold
candidate	CapableOf	force issue
sailor	CapableOf	sailing sailboat
head of corporation	CapableOf	chair meeting
bouncer	CapableOf	require to show id
hot person	CapableOf	drink water
monk	CapableOf	fast for spiritual enlightenment
high school freshman	CapableOf	study romeo juliet
man and woman	CapableOf	get married
winner	CapableOf	place first
even bum	CapableOf	wish for palace
celebrity	CapableOf	sign autograph
traveler	CapableOf	borrow money on credit cards
shopowner	CapableOf	board windows
party giver	CapableOf	begin to clean up afterward
tourist	CapableOf	demand many services
smart farmer	CapableOf	separate wheat from chaff
ticket agent	CapableOf	book airline flight for
housekeeper	CapableOf	clean rooms in house
traveler	CapableOf	cross geographical borders
fisherman	CapableOf	fish for trout
basketball player	CapableOf	captain basketball team
soprano	CapableOf	singing at high range
golfer	CapableOf	drive golf ball
architect	CapableOf	build house
farmhand	CapableOf	milk cow
builder	CapableOf	shore up wall
survivor	CapableOf	honor dead
racer	CapableOf	succeed at winning race
reader	CapableOf	choose book
bird watcher	CapableOf	see birds
slow runner	CapableOf	drop to last place
dancer	CapableOf	cut rug
young child	CapableOf	carry apple
builder	CapableOf	plan far ahead
investor	CapableOf	gain wealth
pet owner	CapableOf	feed cat
small sister	CapableOf	bug older brother
passenger	CapableOf	pushing elevator buttons
gymnist	CapableOf	bend over
businessman	CapableOf	land contract
gambler	CapableOf	hope to win money
philosopher	CapableOf	build argument
government	CapableOf	require to pay taxes
postalworker	CapableOf	sort letters
traveler	CapableOf	miss or family
con man	CapableOf	fool
jew	CapableOf	pray
scout leader	CapableOf	form scouting troop
contributor	CapableOf	back candidate for office
camper	CapableOf	light fire
homeowner	CapableOf	hang picture
sentry	CapableOf	guard facility
lumberjack	CapableOf	saw trees
sailor	CapableOf	sound depth of sea
engineer	CapableOf	fire up boiler
challenger	CapableOf	throw down gauntlet
baseball player	CapableOf	pitch
activist	CapableOf	battle multinational corporations
poet	CapableOf	manipulate language
spy	CapableOf	plan getaway
dancer	CapableOf	shake booty
fisherman	CapableOf	use hook to catch fish
calm voice	CapableOf	quiet screaming baby
baseball player	CapableOf	hit triple
big boy	CapableOf	dress himself
sailor	CapableOf	dance hornpipe
spy	CapableOf	supply enemy with information
cheerleader	CapableOf	shout with megaphone
apprentice	CapableOf	master skill
high school athlete	CapableOf	letter in sport
carpenter	CapableOf	wall for living
ballplayer	CapableOf	fix game
scholar	CapableOf	force himself into getting maximum results
smart person	CapableOf	piece together puzzle
large company	CapableOf	rent auditorium for company parties
ferrier	CapableOf	shoe horse
astronomer	CapableOf	look through telescope
shoeshine boy	CapableOf	shine shoes
hypnotist	CapableOf	put into trance
letter writer	CapableOf	drop line to friend
clever person	CapableOf	fool another person
open mind	CapableOf	learn
crew	CapableOf	man ship
veteran	CapableOf	try to forget war
tom cat	CapableOf	father kittens
receptionist	CapableOf	forward telephone calls to else
policman	CapableOf	help
hacker	CapableOf	hide files
